idx,col1,col2
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,0.138481704,0.7715382
262,0.038918352,0.808297929
263,-0.06103386,0.842148659
264,-0.160376242,0.872968563
265,-0.258116197,0.900646722
266,-0.353277141,0.925083526
267,-0.444908256,0.946191028
268,-0.532093995,0.963893265
269,-0.613963227,0.978126526
270,-0.689697941,0.988839588
271,-0.758541421,0.995993896
272,-0.819805806,0.999563701
273,-0.872878963,0.999536156
274,-0.917230601,0.99591136
275,-0.952417574,0.988702359
276,-0.978088306,0.977935097
277,-0.993986303,0.963648325
278,-0.999952717,0.945893459
279,-0.995927935,0.924734399
280,-0.981952169,0.900247293
281,-0.958165062,0.872520269
282,-0.924804287,0.841653114
283,-0.882203172,0.807756917
284,-0.830787375,0.770953667
285,-0.771070626,0.731375817
286,-0.703649593,0.689165803
287,-0.629197927,0.644475537
288,-0.548459523,0.597465855
289,-0.462241092,0.548305941
290,-0.371404101,0.497172718
291,-0.276856164,0.444250209
292,-0.179541971,0.38972888
293,-0.080433854,0.333804948
294,0.019477932,0.276679678
295,0.1191951,0.21855866
296,0.217721311,0.159651067
297,0.314072122,0.100168903
298,0.407284828,0.040326238
299,0.496428079,-0.019661557
300,0.580611184,-0.079578592
301,0.658993015,-0.139209229
302,0.730790405,-0.198338864
303,0.795285979,-0.256754694
304,0.851835318,-0.314246483
305,0.899873401,-0.370607325
306,0.938920246,-0.42563438
307,0.96858571,-0.479129611
308,0.988573386,-0.530900494
309,0.998683563,-0.580760707
310,0.998815225,-0.628530809
311,0.988967055,-0.674038879
312,0.969237453,-0.717121137
313,0.93982355,-0.757622533
314,0.901019242,-0.795397307
315,0.853212247,-0.830309509
316,0.796880237,-0.862233493
317,0.732586063,-0.891054368
318,0.660972132,-0.916668409
319,0.582753986,-0.938983434
320,0.498713154,-0.957919132
321,0.409689345,-0.973407356
322,0.316572056,-0.985392365
323,0.220291684,-0.993831025
324,0.121810229,-0.998692967
325,0.022111688,-0.999960693
326,-0.077807787,-0.99762964
327,-0.176949831,-0.991708197
328,-0.274323852,-0.982217676
329,-0.368956919,-0.969192232
330,-0.459903491,-0.952678743
331,-0.546254859,-0.932736639
332,-0.627148229,-0.90943769
333,-0.701775341,-0.882865748
334,-0.769390546,-0.853116442
335,-0.829318255,-0.820296838
336,-0.88095969,-0.784525052
337,-0.923798867,-0.745929822
338,-0.957407751,-0.704650051
339,-0.981450534,-0.6608343
340,-0.995686987,-0.61464026
341,-0.999974865,-0.566234178
342,-0.994271324,-0.515790265
343,-0.978633353,-0.463490064
344,-0.953217202,-0.409521799
345,-0.918276819,-0.354079698
346,-0.874161317,-0.297363292
347,-0.821311485,-0.2395767
348,-0.76025538,-0.18092789
349,-0.691603054,-0.121627935
350,-0.616040459,-0.061890251
351,-0.534322592,-0.001929829
352,-0.44726595,0.058037539
353,-0.355740374,0.117796034
354,-0.260660358,0.17713059
355,-0.16297591,0.235827668
356,-0.063663061,0.293676021
357,0.036285889,0.350467457
358,0.135872282,0.405997589
359,0.234101084,0.460066568
360,0.329990826,0.512479804
361,0.422583408,0.563048666
362,0.510953676,0.611591161
363,0.594218665,0.657932588
364,0.671546417,0.701906168
365,0.742164299,0.743353645
366,0.80536672,0.78212585
367,0.860522184,0.818083248
368,0.907079594,0.851096429
369,0.944573765,0.881046582
370,0.972630067,0.907825918
371,0.990968171,0.931338062
372,0.999404849,0.951498394
373,0.997855804,0.96823436
374,0.986336513,0.981485728
375,0.964962074,0.991204807
376,0.933946053,0.997356618
377,0.893598351,0.999919024
378,0.844322111,0.9988828
379,0.786609683,0.994251677
380,0.721037711,0.986042322
381,0.648261368,0.974284279
382,0.569007812,0.959019864
383,0.484068918,0.940304014
384,0.394293368,0.918204085
385,0.300578169,0.892799613
386,0.203859691,0.864182026
387,0.105104316,0.832454317
388,0.005298772,0.797730671
389,-0.094559715,0.760136057
390,-0.193473392,0.719805773
391,-0.290453947,0.676884966
392,-0.384532383,0.631528104
393,-0.474768698,0.583898423
394,-0.560261281,0.534167338
395,-0.640155919,0.482513828
396,-0.71365433,0.429123789
397,-0.780022143,0.374189367
398,-0.838596233,0.317908268
399,-0.888791346,0.260483043
400,-0.93010595,0.202120359
401,-0.962127243,0.143030261
402,-0.984535278,0.083425408
403,-0.997106163,0.023520314
404,-0.999714292,-0.036469428
405,-0.992333607,-0.096327919
406,-0.975037852,-0.155839734
407,-0.947999841,-0.214790694
408,-0.911489729,-0.272968639
409,-0.865872313,-0.330164192
410,-0.811603387,-0.386171511
411,-0.749225189,-0.440789029
412,-0.679360979,-0.493820183
413,-0.60270882,-0.545074117
414,-0.520034593,-0.594366373
415,-0.432164353,-0.641519552
416,-0.339976069,-0.686363954
417,-0.244390857,-0.728738186
418,-0.146363772,-0.768489748
419,-0.046874268,-0.805475576
420,0.053083587,-0.839562562
421,0.152511049,-0.87062803
422,0.250414671,-0.898560177
423,0.345816232,-0.923258478
424,0.437762512,-0.944634045
425,0.525334814,-0.962609949
426,0.607658143,-0.977121498
427,0.683909954,-0.988116464
428,0.753328362,-0.995555278
429,0.815219762,-0.999411167
430,0.868965756,-0.999670256
431,0.914029331,-0.996331612
432,0.949960228,-0.98940725
433,0.976399436,-0.978922089
434,0.993082783,-0.964913867
435,0.999843575,-0.947432997
436,0.996614261,-0.926542391
437,0.983427107,-0.902317232
438,0.960413874,-0.874844707
439,0.927804503,-0.844223685
440,0.885924816,-0.810564369
441,0.835193262,-0.773987897
442,0.776116732,-0.734625904
443,0.709285501,-0.692620052
444,0.635367323,-0.648121515
445,0.555100765,-0.60129044
446,0.469287823,-0.55229537
447,0.378785913,-0.501312632
448,0.284499299,-0.44852571
449,0.187370063,-0.39412458
450,0.088368686,-0.338305028
451,-0.011515641,-0.281267942
452,-0.111284908,-0.223218595
453,-0.209942253,-0.164365903
454,-0.306501924,-0.104921671
455,-0.399999129,-0.045099834
456,-0.489499675,0.014884313
457,-0.574109302,0.074814894
458,-0.652982619,0.134476221
459,-0.725331549,0.193653579
460,-0.790433207,0.252133993
461,-0.847637117,0.309706997
462,-0.896371717,0.366165391
463,-0.936150067,0.421305984
464,-0.966574715,0.474930331
465,-0.987341668,0.526845442
466,-0.99824343,0.576864478
467,-0.999171073,0.624807424
468,,0.670501739
469,,0.713782972
470,,0.754495356
471,,0.792492372
472,,0.827637272
473,,0.85980357
474,,0.888875505
475,,0.914748447
476,,0.937329283
477,,0.956536746
478,,0.972301709
479,,0.984567437
480,,0.993289784
481,,0.998437361
482,,0.999991642
483,,0.997947033
484,,0.992310892
485,,0.983103503
486,,0.970358003
487,,0.954120263
488,,0.934448719
489,,0.91141417
490,,0.885099514
491,,0.855599455
492,,0.823020162
493,,0.787478885
494,,0.749103535
495,,0.708032221
496,,0.664412755
497,,0.618402121
498,,0.570165907
499,,0.519877712
500,,0.467718518
501,,0.413876043
502,,0.358544061
503,,0.301921707
504,,0.244212762
505,,0.185624914
506,,0.126369017
507,,0.066658327
508,,0.00670774
509,,-0.053266988
510,,-0.113050012
511,,-0.172426178
512,,-0.231181796
